,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
0,0.0,0.0,31.0,57.0,125.0,-1.1641004601150717,-0.22486921619011818
1,0.0,35.0,194.0,247.0,1162.0,1.2281875702416054,0.07420871923723993
2,0.0,3.0,314.0,338.0,2486.0,2.9099916888142894,-0.448772537548421
3,18.0,27.0,251.0,269.0,2106.0,2.0889287267163223,0.13382014233782602
4,0.0,0.0,73.0,88.0,501.0,-0.5340233185044263,-0.20532862801187662
5,43.0,48.0,90.0,122.0,626.0,-0.26026734805521595,0.5963021212251035
6,0.0,0.0,120.0,142.0,956.0,0.1329202661929026,-0.27803563068966075
7,0.0,0.0,51.0,78.0,304.0,-0.8779726825491098,-0.24833935950667999
8,62.0,60.0,311.0,343.0,2417.0,2.887696571663848,0.5832196302844701
9,0.0,0.0,63.0,95.0,370.0,-0.7220150201316401,-0.29381490850368414
10,0.0,0.0,62.0,75.0,371.0,-0.6926684635580115,-0.19111575231414174
11,0.0,0.0,73.0,104.0,519.0,-0.5671097938130439,-0.28576773941727773
12,0.0,0.0,84.0,105.0,621.0,-0.38572084383090693,-0.24255212852694746
14,12.0,6.0,60.0,79.0,404.0,-0.7423128453442412,-0.09852253738405864
15,0.0,0.0,92.0,112.0,716.0,-0.2648074584540552,-0.23990530477970354
16,0.0,0.0,209.0,240.0,1892.0,1.4159665957329262,-0.3784785442715431
17,32.0,20.0,86.0,115.0,590.0,-0.40233399411572335,0.07976754949440967
18,0.0,0.0,104.0,131.0,763.0,-0.1160207672087399,-0.29968698394563775
19,32.0,36.0,53.0,74.0,341.0,-0.7793375722538374,0.46912586090219555
20,0.0,0.0,232.0,247.0,1728.0,1.7304077562796683,-0.389380263045843
21,0.0,0.0,61.0,93.0,335.0,-0.7532930693833626,-0.29541414402534816
22,0.0,0.0,52.0,77.0,234.0,-0.8703742033293749,-0.25453983239605416
23,221.0,195.0,124.0,148.0,954.0,0.3024599740808346,3.3914860816179027
24,0.0,0.0,97.0,141.0,672.0,-0.25888078422812116,-0.38827514129804025
25,66.0,57.0,65.0,87.0,284.0,-0.6551206261694373,0.8146814703155828
26,0.0,0.0,219.0,238.0,1587.0,1.5305409709258855,-0.40348028204933184
27,0.0,21.0,107.0,160.0,804.0,-0.03112425859379814,-0.031895630280225205
28,29.0,51.0,132.0,202.0,1123.0,0.3415096738202649,0.4443933332643399
29,0.0,0.0,42.0,59.0,224.0,-0.9853685932987413,-0.18750629070984562
30,8.0,0.0,57.0,91.0,416.0,-0.8271275911118116,-0.28117472926042036
31,0.0,0.0,97.0,126.0,650.0,-0.22859422322689016,-0.3138887737141441
32,0.0,7.0,48.0,79.0,247.0,-0.9019250801503185,-0.13789570411582844
33,0.0,0.0,82.0,108.0,502.0,-0.44013965768068897,-0.2872188214887625
34,0.0,0.0,169.0,207.0,1207.0,0.7769479496347143,-0.44422994976312447
35,0.0,0.0,76.0,115.0,489.0,-0.5498050070443481,-0.34189378648490915
36,77.0,94.0,258.0,300.0,1810.0,2.187053759958855,1.2026985787722713
37,0.0,0.0,138.0,155.0,1034.0,0.3917146776092526,-0.28479380362911294
38,3.0,0.0,92.0,106.0,569.0,-0.2830778776154826,-0.23864854794648016
39,0.0,0.0,83.0,99.0,534.0,-0.4001436840912541,-0.23099325500478715
40,0.0,0.0,55.0,93.0,329.0,-0.8463584725684976,-0.3119211289113533
41,0.0,0.0,208.0,228.0,1598.0,1.3853492476118958,-0.3768167008646766
42,0.0,0.0,78.0,100.0,555.0,-0.47621316680551684,-0.24480006722121112
44,22.0,20.0,138.0,155.0,874.0,0.38371200134454725,0.06197362206132769
45,0.0,0.0,160.0,186.0,1235.0,0.689434981657866,-0.3512855521785515
46,0.0,11.0,177.0,211.0,1189.0,0.9395128322583923,-0.23667777676728288
47,0.0,9.0,52.0,90.0,234.0,-0.8575321587632712,-0.14956884895900038
48,19.0,20.0,82.0,108.0,596.0,-0.40121744418849903,0.11121315844760908
49,0.0,0.0,279.0,311.0,2588.0,2.432912055906276,-0.4335887108446331
51,78.0,96.0,155.0,188.0,1092.0,0.7569352467653909,1.4227914524501284
52,0.0,0.0,32.0,62.0,175.0,-1.152733782352122,-0.23857774076011243
54,30.0,15.0,56.0,81.0,337.0,-0.8398729564426782,0.035519415044099834
55,11.0,4.0,135.0,153.0,1119.0,0.34175764168527867,-0.19105116023322513
56,10.0,47.0,268.0,292.0,1709.0,2.3635324834257974,0.36423196537274016
57,0.0,0.0,62.0,84.0,335.0,-0.7178676923244909,-0.24559044670768596
