FlightDate,Marketing_Airline_Network,OriginCityName,DestCityName,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Scor_Intarzieri
2022-01-09,AA,"Denver, CO","Phoenix, AZ",1677.0,1666.0,80.0,115.0,31.287094331430858
2022-01-27,AA,"Austin, TX","Philadelphia, PA",1585.0,1596.0,170.0,202.0,29.903903715446337
2022-01-19,AA,"Wichita, KS","Dallas/Fort Worth, TX",1559.0,1541.0,62.0,77.0,29.013075822807917
2022-01-07,AA,"Nashville, TN","Chicago, IL",1525.0,1530.0,67.0,116.0,28.635063901115966
2022-07-17,AA,"San Juan, PR","Charlotte, NC",1484.0,1476.0,200.0,218.0,27.623958307475277
2022-02-05,AA,"Roswell, NM","Dallas/Fort Worth, TX",1332.0,1322.0,63.0,87.0,24.832965403124984
2022-05-08,UA,"Ontario, CA","San Francisco, CA",1258.0,1250.0,65.0,85.0,23.469099207765673
2022-07-20,UA,"San Francisco, CA","Bishop, CA",1217.0,1227.0,40.0,69.0,23.029807001659673
2022-02-25,AA,"Tampa, FL","Charlotte, NC",1203.0,1203.0,71.0,104.0,22.52422583652824
2022-06-02,DL,"Key West, FL","Atlanta, GA",1155.0,1216.0,87.0,175.0,22.483774131544866
