,C1,C2,C3,C4,C5,C6,C7
CRSDepTime,0.15244103241919482,0.18601541780644373,0.7935952250658457,0.7947557379431006,0.7972314192007381,0.7977489406230768,0.8106960963034272
DepTime,0.18896408376265653,0.22709667051340252,0.8372406234719046,0.8383536601390457,0.8408696653119554,0.8433962229546282,0.8573965470235793
DepDelayMinutes,0.7502577343678066,0.7575144008520192,0.8714086246072689,0.8729567163692605,0.8731700887231084,0.983511948669568,0.9844196368862221
DepDelay,0.7674089823797818,0.7738384511945929,0.8847697137462005,0.885959480160614,0.8864482319233876,0.9857283248736005,0.9861933979542744
ArrTime,0.07684869850874701,0.09433861762620438,0.7376255390425168,0.7383801630518463,0.7410720255992178,0.7533911210787604,0.7816795690245399
ArrDelayMinutes,0.7495400660096918,0.7561705251775923,0.8747409759506797,0.8770429133654966,0.8781166917996215,0.9531485115642337,0.9627123961072772
AirTime,0.024337898162396763,0.9417959013524704,0.9567788923178702,0.9569958081342147,0.9823463138723764,0.9847545106657837,0.987902196593391
CRSElapsedTime,0.020713007357018514,0.9305353400409435,0.9452989285819178,0.9460457880135761,0.9805554868728226,0.9831240961971622,0.9854329610623039
ActualElapsedTime,0.0321742822163328,0.9266451571342389,0.9389230366670207,0.9396962753562911,0.9908176735110329,0.9917886166380792,0.9920268614222698
Distance,0.02252659558739832,0.9429791236848387,0.9586633657557885,0.958663453224567,0.9772396756334712,0.9810013800412315,0.9849202417091403
Quarter,0.002198336382104526,0.0026271766117554854,0.004143820487518275,0.9393732510711559,0.9551508158858996,0.9558654463731019,0.9558658592431712
Month,0.002747591102946364,0.0031794983676179433,0.004840672224050699,0.9417755768820096,0.9549482599969258,0.955565964265695,0.9555666572152467
DayofMonth,0.00011142102948323567,0.00012066577270914717,0.000250461110564573,0.0005729414988148288,0.001240408987627951,0.002297104832895396,0.10398160699490289
DayOfWeek,0.0019310992254064157,0.0021231454307242,0.002250283175481568,0.00557694743135786,0.009334566548005796,0.018068846361931394,0.018122391328796072
Flight_Number_Marketing_Airline,0.011163754367743303,0.28539982207249676,0.2871033480267859,0.2980527881552697,0.9409030778754761,0.9506191390963499,0.9625233576272271
Flight_Number_Operating_Airline,0.011162565765561891,0.28541243747011036,0.2871194532874534,0.29808519488688867,0.9408935297303405,0.9506060013400559,0.9625162537044306
DepDel15,0.5130819683214045,0.5156940482237808,0.5289107652268181,0.5297924481418579,0.5369979521951541,0.6918973870455613,0.7352275944901238
DepartureDelayGroups,0.777681859723983,0.7827997233217312,0.8463590461773847,0.846359714073951,0.8491173623055372,0.8560881286525521,0.8675605388846214
TaxiOut,0.024494854066893702,0.025692478890401122,0.02705125376586081,0.03991453520731729,0.2051821679467194,0.3863614551377022,0.3895969878858079
WheelsOff,0.17835025205004834,0.22102961074071342,0.8456436714722753,0.8463014378167025,0.8474455427194019,0.8501138512579132,0.8606199061226152
WheelsOn,0.08797474234147364,0.10579880668434928,0.776957815859044,0.7775016384905046,0.779544879220376,0.7897612443620778,0.813890303884845
TaxiIn,0.00581454643195581,0.0164016744814304,0.017752908914150604,0.017982138106053116,0.054967825498837664,0.11633999546789452,0.8116777684691601
CRSArrTime,0.12445852727561905,0.14223379714746653,0.7884221126940971,0.7884970213767291,0.7891992951191352,0.7955077914199031,0.8042938387938747
ArrDelay,0.7890543842084788,0.7972117315063627,0.9092410822644668,0.9103815087332757,0.9112535267953543,0.9508744154888124,0.961222320488295
ArrDel15,0.5156870558925599,0.5176350544490778,0.5386484605424319,0.5386857273566511,0.5395933056640493,0.8254088438218266,0.8268628599570382
ArrivalDelayGroups,0.7763916420625325,0.7829648908254532,0.8499210480825237,0.8499427678109136,0.8507533024147782,0.8992721025231037,0.8995699122710147
DistanceGroup,0.02255852342576772,0.9288634466620124,0.9442737916161842,0.9442750692467791,0.9617620085743884,0.965578883299346,0.9694249151014198
DivAirportLandings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
