,C1,C2,C3,C4,C5,C6,C7
CRSDepTime,2.2992352397343576,0.6308553126010091,13.484341818248563,0.06031816285579528,0.14612389293554545,0.04533040282447856,1.276735679297254
DepTime,2.850104552142272,0.716502913082756,13.54124926755044,0.05785056613235272,0.1485039600220496,0.22130460838525648,1.3805899690911922
DepDelayMinutes,11.315975721012709,0.13635116623989826,2.527715085146301,0.08046274440004773,0.012594027964176217,9.664993068639811,0.08950830286522422
DepDelay,11.574664298548159,0.12080830407595557,2.461956511232633,0.061838628206090776,0.028847942373546334,8.696077904462689,0.04586145484279926
ArrTime,1.159092358107014,0.3286317311530103,14.276808794409007,0.03922191195094155,0.15888371471724638,1.079046270195768,2.789560247517035
ArrDelayMinutes,11.305151283830451,0.12458486857789852,2.631497078515495,0.11964420093226927,0.06337838704417634,6.572138790340162,0.9431069595706434
AirTime,0.3670832729744921,17.238833971941762,0.3325254875544655,0.011274294144168315,1.496280902445406,0.2109372211733238,0.3103973590969691
CRSElapsedTime,0.31240982614951984,17.095361403538348,0.32765617285480264,0.03881834464061569,2.0368904622877535,0.22498797217875718,0.22768013490994735
ActualElapsedTime,0.48527776485746227,16.806910890560644,0.27248951075265615,0.04018941805810542,3.0173745863420707,0.08504622450173085,0.02349362469196851
Distance,0.33976378658577616,17.29510043593624,0.348088726316981,4.546227905459099e-06,1.0964375668521629,0.3294927876412074,0.3864439910337135
Quarter,0.03315703389246016,0.008057813538861997,0.03365968419784461,48.60895747655369,0.9312504122494668,0.0625954529749656,4.071364873259841e-05
Month,0.04144132447819483,0.008115442451926963,0.036867314930553625,48.69760023526619,0.7775006298648837,0.05410555412986816,6.833264683502751e-05
DayofMonth,0.001680539375585327,0.00017370669069383498,0.002880616967756438,0.016761058802113215,0.03939640758372853,0.09255742131885313,10.02723958427757
DayOfWeek,0.029126353449696767,0.0036085059336812405,0.002821635590627278,0.17290482534510063,0.22178862153587145,0.7650474072316024,0.005280138072849194
Flight_Number_Marketing_Airline,0.168380501251589,5.152835360139103,0.037807257564248284,0.5691019253589897,37.94340916015163,0.8510429713600066,1.1738903051570617
Flight_Number_Operating_Airline,0.16836257382103992,5.153094734257359,0.03788470995117078,0.5699492014202122,37.940932827667346,0.8507285524533444,1.1744853092413008
DepDel15,7.738704754982343,0.0490804065166386,0.2933256300730274,0.04582585398133605,0.42529558261277817,13.567851447237128,4.272847504242515
DepartureDelayGroups,11.729607893644685,0.09616353069661718,1.4106058576698808,3.47142152868014e-05,0.1627666298733152,0.6105788724215553,1.1313091332521417
TaxiOut,0.36945060505678456,0.022503106868471262,0.030156013507743253,0.668574662162305,9.75470884938095,15.86973933312002,0.3190600470890007
WheelsOff,2.690018415785418,0.8019357572107835,13.862392065628203,0.03418769258129373,0.06752931614007669,0.23372076147907556,1.0360155871746328
WheelsOn,1.326904079485864,0.3349102464021809,14.89538886246217,0.028265418412848433,0.12059964857438119,0.894865269890807,2.379397603703662
TaxiIn,0.08769955075259049,0.19892980610554314,0.029988664451462397,0.011914287208241867,2.1830324917869826,5.375671550634857,68.56815240903818
CRSArrTime,1.8771811451042812,0.3339934090299214,14.341200977518486,0.003893411444942178,0.04145080180666536,0.5525697414385262,0.8664034355723311
ArrDelay,11.901137229575646,0.15327476051299363,2.4863269668436843,0.059274163017814276,0.051469741327939245,3.4704473422999276,1.0204202254916008
ArrDel15,7.77799672940117,0.03660246417452268,0.4663616979085652,0.00193695891984386,0.053568638939984606,25.034970377922367,0.14338240181324163
ArrivalDelayGroups,11.710147818709107,0.1235098976588081,1.4859936102275266,0.0011288923543086868,0.047840759512269224,4.249827463242182,0.029367402400005516
DistanceGroup,0.34024534729120093,17.0292700541043,0.3420099819256452,6.640540729958327e-05,1.0321440380076916,0.334325230501662,0.3792621442616755
DivAirportLandings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
