,C1,C2,C3,C4,C5,C6,C7
CRSDepTime,0.39043697624481577,-0.18323314489264464,0.7794740581054651,-0.0340663011971494,0.04975621828111072,-0.022749097176340924,0.11378556885805159
DepTime,0.4346999928256918,-0.19527566860913825,0.7811171185926615,-0.03336220417090255,0.050159796380266,-0.0502648748399203,0.11832296509533122
DepDelayMinutes,0.8661741940093843,-0.08518606977794298,-0.3374821828708142,0.03934579725957543,0.01460727058173045,0.3321774524955895,-0.03012786445558531
DepDelay,0.8760188253569565,-0.0801839685648639,-0.3330634512395612,0.034492990801225955,0.022107730837280723,0.3150874369920402,-0.021565553103825515
ArrTime,0.27721597809063425,-0.13224945790988096,0.8020516949775198,0.027470420625273075,-0.051883162465018354,0.110991420747473,-0.16819169999075323
ArrDelayMinutes,0.8657598200480846,-0.08142763147667098,-0.3443406028528836,0.04797850992701687,-0.03276855862141183,0.27391936726820215,-0.09779511512873953
AirTime,0.1560060837352081,0.957840280626198,0.12240502835014495,0.014728062206024442,-0.1592184214786772,0.04907338171969923,0.05610424161868048
CRSElapsedTime,0.14392014229085,0.9538460738944858,0.12150550827421053,0.027328729053110422,-0.18576786282682614,0.05068144950906256,0.04805064895650958
ActualElapsedTime,0.17937191033250663,0.9457647037809701,0.1108055934183008,0.02780716974577552,-0.22610041608706027,-0.031159960318431355,-0.015435180082869822
Distance,0.1500886257762337,0.9594021722392755,0.12523674409273747,0.0002957512105034637,-0.1362946162139365,0.061332735205273964,0.06260081203873262
Quarter,0.04688642001800229,-0.020708457925469957,-0.038944112209200375,-0.9670726087443681,-0.12560877682209823,0.0267325735237424,0.0006425496629462432
Month,0.052417469444321366,-0.020782378705806983,-0.040757500615626024,-0.9679539785847047,-0.11477230987880366,0.024853657050204824,0.0008324359144773903
DayofMonth,-0.010555616016284207,0.0030405169339951877,-0.011392775687049484,-0.017957738951500987,0.025835392174556247,0.0325068584342973,0.3188800748902438
DayOfWeek,0.04394427409124442,-0.013858073651044878,-0.01127553744871472,-0.05767724209665621,-0.061299421829638295,-0.09345736896535017,0.007317442645123922
Flight_Number_Marketing_Airline,-0.10565866915565093,-0.523675536668225,-0.04127379258426729,0.10463957247850263,-0.8017794520441431,0.09857008278820574,0.10910645503762481
Flight_Number_Operating_Airline,-0.10565304427966991,-0.5236887164189701,-0.0413160479395483,0.10471743694072755,-0.8017532880153668,0.0985518726849749,0.10913410266444974
DepDel15,0.7162974021462066,-0.05110851105614782,-0.11496398132909845,-0.029693145926961092,0.0848852404914788,-0.3935726551100916,0.2081590916692388
DepartureDelayGroups,0.8818627215865193,-0.07153924515780272,-0.2521097436745622,-0.0008172493905900048,0.05251331480287796,-0.08349111537771478,0.1071093377445183
TaxiOut,0.15650831948140553,0.03460671645081949,-0.03686156365999262,0.11341640728508588,-0.40653121988280566,-0.425651603064035,0.05688174353960754
WheelsOff,0.42231534669018167,-0.20658983201180323,0.7903252879236257,-0.02564695585107983,0.03382461977168877,-0.05165567285895414,0.10249904811607793
WheelsOn,0.2966053646539011,-0.1335067951187341,0.8192429488098721,0.0233200049627056,-0.04520222040864104,0.10107603643644668,-0.15533531318656152
TaxiIn,0.07625317325827044,0.10289377070296624,-0.03675914080497805,-0.015140316770216922,-0.19231663316724465,-0.24773407107028467,-0.8338691582024518
CRSArrTime,0.35278680144758684,-0.1333239283543936,0.8038583927201548,0.008654980221349412,-0.026500447966142163,0.07942604296304746,-0.0937339179484755
ArrDelay,0.8882873320094568,-0.09031803417858404,-0.33470785882333876,0.03377020089974271,-0.029529951948463678,0.19904996531890695,-0.10172465285997645
ArrDel15,0.718113539694497,-0.04413613662882005,-0.14496001549859902,-0.006104655126969585,-0.0301260403537896,-0.5346171884234338,0.03813156350337126
ArrivalDelayGroups,0.8811308881559723,-0.08107557439155541,-0.25875887860529645,0.004660442939246198,-0.028469889424875324,-0.22026983476709996,-0.017257165118028522
DistanceGroup,0.15019495139906575,0.9520004848928622,0.1241384104706188,0.001130323225835645,-0.13223819163770104,0.06178086050677552,0.06201638333596787
DivAirportLandings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
