FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-03-19,SkyWest Airlines Inc.,ASE,DEN,False,False,1831,1826.0,0.0,-5.0,1923.0,0.0,31.0,62.0,57.0,125.0,2022,1,3,19,6,UA,UA_CODESHARE,19977,UA,5745,OO,20304,OO,N794SK,5745,10372,1037205,30372,"Aspen, CO",CO,8,Colorado,82,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1800-1859,19.0,1845.0,1916.0,7.0,1933,-10.0,0.0,-1.0,1900-1959,1,0
2022-02-16,SkyWest Airlines Inc.,TYS,DEN,False,False,1605,1605.0,0.0,0.0,1812.0,35.0,194.0,212.0,247.0,1162.0,2022,1,2,16,3,UA,UA_CODESHARE,19977,UA,5733,OO,20304,OO,N127SY,5733,15412,1541205,35412,"Knoxville, TN",TN,47,Tennessee,54,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,0.0,1600-1659,9.0,1614.0,1728.0,44.0,1737,35.0,1.0,2.0,1700-1759,5,0
2022-01-18,American Airlines Inc.,LAX,OGG,False,False,1719,1714.0,0.0,-5.0,2052.0,3.0,314.0,330.0,338.0,2486.0,2022,1,1,18,2,AA,AA,19805,AA,205,AA,19805,AA,N400AN,205,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,13830,1383002,33830,"Kahului, HI",HI,15,Hawaii,2,0.0,-1.0,1700-1759,14.0,1728.0,2042.0,10.0,2049,3.0,0.0,0.0,2000-2059,10,0
2022-01-23,Southwest Airlines Co.,LAS,BWI,False,False,1515,1533.0,18.0,18.0,2302.0,27.0,251.0,260.0,269.0,2106.0,2022,1,1,23,7,WN,WN,19393,WN,312,WN,19393,WN,N7828A,312,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,1.0,1.0,1500-1559,15.0,1548.0,2259.0,3.0,2235,27.0,1.0,1.0,2200-2259,9,0
2022-07-01,Delta Air Lines Inc.,DTW,RDU,False,False,715,709.0,0.0,-6.0,837.0,0.0,73.0,98.0,88.0,501.0,2022,3,7,1,5,DL,DL,19790,DL,698,DL,19790,DL,N333NB,698,11433,1143302,31295,"Detroit, MI",MI,26,Michigan,43,14492,1449202,34492,"Raleigh/Durham, NC",NC,37,North Carolina,36,0.0,-1.0,0700-0759,12.0,721.0,834.0,3.0,853,-16.0,0.0,-2.0,0800-0859,3,0
2022-06-13,Delta Air Lines Inc.,SAN,SLC,False,False,1723,1806.0,43.0,43.0,2108.0,48.0,90.0,117.0,122.0,626.0,2022,2,6,13,1,DL,DL,19790,DL,2389,DL,19790,DL,N335NW,2389,14679,1467903,33570,"San Diego, CA",CA,6,California,91,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,1.0,2.0,1700-1759,20.0,1826.0,2056.0,12.0,2020,48.0,1.0,3.0,2000-2059,3,0
2022-02-25,SkyWest Airlines Inc.,SEA,ONT,False,False,739,733.0,0.0,-6.0,955.0,0.0,120.0,171.0,142.0,956.0,2022,1,2,25,5,DL,DL_CODESHARE,19790,DL,3659,OO,20304,OO,N277SY,3659,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,13891,1389101,32575,"Ontario, CA",CA,6,California,91,0.0,-1.0,0700-0759,19.0,752.0,952.0,3.0,1030,-35.0,0.0,-2.0,1000-1059,4,0
2022-01-28,American Airlines Inc.,SAN,PHX,False,False,615,607.0,0.0,-8.0,825.0,0.0,51.0,89.0,78.0,304.0,2022,1,1,28,5,AA,AA,19805,AA,625,AA,19805,AA,N568UW,625,14679,1467903,33570,"San Diego, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,0600-0659,23.0,630.0,821.0,4.0,844,-19.0,0.0,-2.0,0800-0859,2,0
2022-04-16,Hawaiian Airlines Inc.,SJC,HNL,False,False,845,947.0,62.0,62.0,1230.0,60.0,311.0,345.0,343.0,2417.0,2022,2,4,16,6,HA,HA,19690,HA,43,HA,19690,HA,N216HA,43,14831,1483106,32457,"San Jose, CA",CA,6,California,91,12173,1217305,32134,"Honolulu, HI",HI,15,Hawaii,2,1.0,4.0,0800-0859,14.0,1001.0,1212.0,18.0,1130,60.0,1.0,4.0,1100-1159,10,0
2022-01-26,SkyWest Airlines Inc.,PHX,LAX,False,False,1151,1144.0,0.0,-7.0,1219.0,0.0,63.0,92.0,95.0,370.0,2022,1,1,26,3,UA,UA_CODESHARE,19977,UA,5435,OO,20304,OO,N117SY,5435,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,0.0,-1.0,1100-1159,25.0,1209.0,1212.0,7.0,1223,-4.0,0.0,-1.0,1200-1259,2,0
